GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webservices,pbrg.webservices.models,Gym,0,21,0,0,0,8,0,4,0,4
webservices,pbrg.webservices.models,ChainingMysqlDataSource,0,41,0,0,0,14,0,7,0,7
webservices,pbrg.webservices.models,Route,0,21,0,0,0,8,0,4,0,4
webservices,pbrg.webservices.models,RouteFull,0,39,0,0,0,14,0,7,0,7
webservices,pbrg.webservices.models,GymList,0,9,0,0,0,4,0,2,0,2
webservices,pbrg.webservices.models,User,0,15,0,0,0,6,0,3,0,3
webservices,pbrg.webservices.servlets,GetRoutesServlet,4,106,1,7,0,30,1,7,0,4
webservices,pbrg.webservices.servlets,MyHttpServlet,0,226,0,36,0,63,0,27,0,9
webservices,pbrg.webservices.servlets,GetRouteImageServlet,4,96,1,11,0,33,1,9,0,4
webservices,pbrg.webservices.servlets,LoginServlet,4,136,1,7,0,38,1,7,0,4
webservices,pbrg.webservices.servlets,GenerateRouteServlet,24,184,6,20,0,57,6,11,0,4
webservices,pbrg.webservices.servlets,SearchGymServlet,8,79,2,4,0,23,2,5,0,4
webservices,pbrg.webservices.servlets,GetPrimaryGymServlet,12,100,3,9,0,31,3,7,0,4
webservices,pbrg.webservices.servlets,DeleteRouteServlet,4,58,1,5,0,19,1,6,0,4
webservices,pbrg.webservices.servlets,StoreRouteServlet,8,98,2,10,0,30,2,8,0,4
webservices,pbrg.webservices.servlets,RegisterServlet,8,110,2,6,0,31,2,6,0,4
webservices,pbrg.webservices.servlets,GetRouteInfoServlet,8,75,2,6,0,23,2,6,0,4
webservices,pbrg.webservices.servlets,LogoutServlet,0,62,0,8,0,17,0,7,0,3
webservices,pbrg.webservices.servlets,StoreGymServlet,12,96,3,9,0,30,3,7,0,4
webservices,pbrg.webservices.servlets,HelloServlet,0,28,0,0,0,10,0,3,0,3
webservices,pbrg.webservices.servlets,GetGymServlet,13,82,2,6,2,25,3,5,1,3
webservices,pbrg.webservices.servlets,GetWallImageServlet,12,101,3,11,0,35,3,8,0,4
webservices,pbrg.webservices.utils,RouteUtils,20,279,5,29,0,92,5,30,0,18
webservices,pbrg.webservices.utils,ServletUtils,0,149,0,8,0,50,0,18,0,14
webservices,pbrg.webservices.utils,DatabaseUtils,0,21,0,2,0,6,0,3,0,2
webservices,pbrg.webservices.utils,ProcessUtils,0,138,0,10,0,45,0,14,0,9
webservices,pbrg.webservices.utils,TestUtils,0,65,0,2,0,15,0,5,0,4
webservices,pbrg.webservices.database,TestDatabase,0,178,0,6,0,50,0,13,0,10
webservices,pbrg.webservices.database,AuthenticationController,0,305,0,26,0,98,0,23,0,10
webservices,pbrg.webservices.database,DatabaseController,0,22,0,2,0,12,0,7,0,6
webservices,pbrg.webservices.database,GymController,0,418,0,30,0,138,0,30,0,15
webservices,pbrg.webservices.database,WallController,0,287,0,20,0,88,0,19,0,9
webservices,pbrg.webservices.database,RouteController,0,354,0,20,0,106,0,19,0,9
webservices,pbrg.webservices.database,ProductionDatabase,0,60,0,2,0,22,0,8,0,7
